Base Number,Pick Up Date,Number of Trips,Number of Vehicles
B01313,04/03/2015, 9 , 9 
B01315,04/03/2015," 1,713 ", 157 
B01332,04/03/2015, 32 , 5 
B01336,04/03/2015, 163 , 21 
B01340,04/03/2015," 1,155 ", 132 
B01351,04/03/2015, 33 , 6 
B01362,04/03/2015," 1,219 ", 139 
B01391,04/03/2015, 148 , 12 
B01398,04/03/2015, 1 , -   
B01445,04/03/2015, 84 , 38 
B01453,04/03/2015, 245 , 12 
B01455,04/03/2015, 312 , 67 
B01478,04/03/2015, 90 , 12 
B01506,04/03/2015, 612 , 62 
B01514,04/03/2015, 72 , 12 
B01522,04/03/2015, 79 , 11 
B01537,04/03/2015, 126 , 13 
B01546,04/03/2015, 42 , 6 
B01608,04/03/2015, 14 , 6 
B01614,04/03/2015, 43 , 8 
B01623,04/03/2015, 50 , 10 
B01625,04/03/2015, 111 , 10 
B01626,04/03/2015," 1,597 ", 116 
B01635,04/03/2015, 20 , 8 
B01675,04/03/2015, 129 , 14 
B01678,04/03/2015, 15 , 5 
B01679,04/03/2015, 93 , 8 
B01726,04/03/2015," 1,185 ", 127 
B01727,04/03/2015, 5 , 3 
B01730,04/03/2015, 547 , 95 
B01733,04/03/2015, 188 , 10 
B01734,04/03/2015, 8 , -   
B01738,04/03/2015, 196 , 23 
B01741,04/03/2015, 92 , 16 
B01742,04/03/2015, 18 , 10 
B01779,04/03/2015, 37 , 16 
B01846,04/03/2015, 1 , 1 
B01849,04/03/2015, 4 , 4 
B01854,04/03/2015, 35 , 19 
B01875,04/03/2015, 40 , 18 
B01876,04/03/2015, 1 , 1 
B01877,04/03/2015, 114 , 70 
B01899,04/03/2015, 701 , 80 
B01912,04/03/2015, 46 , -   
B01928,04/03/2015, 2 , 1 
B01957,04/03/2015, 12 , 2 
B01970,04/03/2015, 9 , 6 
B01973,04/03/2015, 92 , 18 
B01980,04/03/2015, 36 , 19 
B01990,04/03/2015, 44 , 32 
B01995,04/03/2015, 190 , 14 
B01998,04/03/2015, 262 , 124 
B02003,04/03/2015, 79 , 44 
B02016,04/03/2015, 86 , 31 
B02022,04/03/2015, 30 , 16 
B02026,04/03/2015, 2 , 1 
B02054,04/03/2015, 13 , 6 
B02073,04/03/2015, 7 , 7 
B02096,04/03/2015, 5 , 5 
B02106,04/03/2015, 4 , -   
B02110,04/03/2015, 40 , 3 
B02127,04/03/2015, 5 , 3 
B02133,04/03/2015, 45 , 21 
B02144,04/03/2015, 14 , 10 
B02147,04/03/2015, 8 , 3 
B02155,04/03/2015, 24 , 20 
B02157,04/03/2015, 175 , 101 
B02167,04/03/2015, 10 , 2 
B02182,04/03/2015, 2 , 2 
B02191,04/03/2015, 8 , 6 
B02196,04/03/2015, 1 , 1 
B02213,04/03/2015, 277 , 26 
B02216,04/03/2015, 4 , 2 
B02217,04/03/2015, 16 , 8 
B02240,04/03/2015, 11 , 5 
B02248,04/03/2015, 12 , 1 
B02252,04/03/2015, 9 , 5 
B02265,04/03/2015, 21 , 2 
b02301,04/03/2015, 457 , 26 
B02306,04/03/2015, 89 , 15 
B02320,04/03/2015, 112 , -   
B02342,04/03/2015, 9 , -   
B02377,04/03/2015, 7 , 4 
B02389,04/03/2015, 25 , 10 
B02397,04/03/2015, 173 , 11 
B02410,04/03/2015, 49 , 22 
B02423,04/03/2015, 19 , 3 
B02435,04/03/2015, 12 , 8 
B02436,04/03/2015, 3 , 1 
B02440,04/03/2015, 16 , 12 
B02447,04/03/2015, 3 , 3 
B02468,04/03/2015, 89 , 29 
B02469,04/03/2015, 2 , 2 
B02470,04/03/2015, 11 , 7 
B02471,04/03/2015, 5 , 2 
B02475,04/03/2015, 14 , 6 
B02491,04/03/2015, 22 , 5 
B02511,04/03/2015, 30 , 13 
B02517,04/03/2015, 12 , 9 
B02524,04/03/2015, 1 , 1 
B02532,04/03/2015, 39 , -   
B02541,04/03/2015, 13 , 7 
B02543,04/03/2015, 59 , 9 
B02547,04/03/2015, 6 , 4 
B02554,04/03/2015, 2 , 2 
B02564,04/03/2015, 4 , 2 
B02573,04/03/2015, 424 , 35 
B02590,04/03/2015, 67 , -   
B02629,04/03/2015, 2 , 2 
B02637,04/03/2015, 19 , 15 
B02653,04/03/2015," 1,697 ", 103 
B02664,04/03/2015, 7 , 5 
B02666,04/03/2015, 11 , 10 
B02667,04/03/2015, 9 , 6 
B02673,04/03/2015, 4 , 3 
B02681,04/03/2015, 6 , 2 
B02686,04/03/2015, 4 , 3 
B02695,04/03/2015, 12 , 3 
B02705                  ,04/03/2015, 2 , 2 
B02710,04/03/2015, 10 , 5 
B02712,04/03/2015, 6 , 6 
B02716,04/03/2015, 135 , 1 
B02718,04/03/2015, 1 , 1 
B02719,04/03/2015," 1,215 ", 383 
B02723,04/03/2015, 2 , -   
B02725,04/03/2015, 112 , 1 
B02726,04/03/2015, 75 , 9 
B02727,04/03/2015, 4 , 2 
B02731,04/03/2015, 15 , 3 
B02751,04/03/2015, 1 , 1 
B02753,04/03/2015, 30 , 11 
B02754,04/03/2015, 24 , 2 
B02782,04/03/2015, 1 , 1 
B02783,04/03/2015, 34 , 5 
B02794,04/03/2015, 106 , 17 
B00008,04/04/2015, 234 , 15 
B00009,04/04/2015, 173 , 17 
B00013,04/04/2015, 47 , 35 
B00014,04/04/2015, 78 , 48 
B00037,04/04/2015, 561 , 49 
B00095,04/04/2015, 982 , 73 
B00160,04/04/2015, 277 , 22 
B00202,04/04/2015, 44 , 6 
B00221,04/04/2015, 311 , 64 
B00227,04/04/2015, 72 , 44 
B00235,04/04/2015, 2 , 2 
B00248,04/04/2015," 1,044 ", 110 
B00254,04/04/2015, 222 , 99 
B00255,04/04/2015, 8 , 4 
B00256,04/04/2015," 1,878 ", 552 
B00272,04/04/2015, 83 , 56 
B00277,04/04/2015, 17 , 12 
B00280,04/04/2015, 176 , 63 
B00281,04/04/2015, 115 , 10 
B00296,04/04/2015, 14 , 11 
B00310,04/04/2015," 1,976 ", 137 
B00346,04/04/2015, 67 , 8 
B00373,04/04/2015, 408 , 7 
B00381,04/04/2015, 60 , 31 
B00411,04/04/2015, 33 , 18 
B00412,04/04/2015, 169 , 32 
B00448,04/04/2015, 2 , 2 
B00475,04/04/2015, 159 , 8 
B00477,04/04/2015, 123 , 56 
B00492,04/04/2015, 239 , 22 
B00552,04/04/2015, 16 , 13 
B00608,04/04/2015, 13 , 9 
B00619,04/04/2015, 35 , 5 
B00652,04/04/2015, 130 , 15 
B00789,04/04/2015, 156 , 81 
b00833,04/04/2015, 39 , -   
B00837,04/04/2015, 97 , 46 
B00856,04/04/2015, 838 , 63 
B00888,04/04/2015, 6 , 4 
b00906,04/04/2015, 243 , 13 
B00911,04/04/2015, 557 , 75 
B00932,04/04/2015, 375 , 50 
b00941,04/04/2015, 58 , -   
B00948,04/04/2015, 762 , 62 
b00983,04/04/2015, 33 , 6 
b01013,04/04/2015, 1 , 1 
B01016,04/04/2015," 1,197 ", 73 
b01048,04/04/2015, 79 , 7 
B01069,04/04/2015, 164 , 11 
B01087,04/04/2015, 127 , 82 
B01129,04/04/2015, 239 , 23 
B01148,04/04/2015, 511 , 57 
B01176,04/04/2015, 744 , 78 
B01177,04/04/2015, 187 , 12 
B01197,04/04/2015, 57 , 29 
B01222,04/04/2015, 1 , 1 
B01231,04/04/2015, 32 , 9 
B01265,04/04/2015, 573 , 66 
B01280,04/04/2015, 90 , 12 
B01306,04/04/2015, 34 , 7 
B01311,04/04/2015, 24 , 8 
B01313,04/04/2015, 16 , 14 
B01315,04/04/2015," 1,747 ", 161 
B01332,04/04/2015, 32 , 6 
B01336,04/04/2015, 82 , 12 
B01340,04/04/2015," 1,323 ", 140 
B01362,04/04/2015," 1,208 ", 151 
B01391,04/04/2015, 121 , 14 
B01398,04/04/2015, 1 , -   
B01445,04/04/2015, 10 , 10 
B01453,04/04/2015, 225 , 13 
B01455,04/04/2015, 358 , 73 
B01478,04/04/2015, 73 , 10 
B01506,04/04/2015, 630 , 64 
B01514,04/04/2015, 63 , 12 
B01522,04/04/2015, 93 , 14 
B01537,04/04/2015, 163 , 14 
B01546,04/04/2015, 16 , 5 
B01608,04/04/2015, 1 , 1 
B01614,04/04/2015, 38 , 8 
B01623,04/04/2015, 75 , 10 
B01625,04/04/2015, 108 , 8 
B01626,04/04/2015," 1,878 ", 129 
B01675,04/04/2015, 71 , 11 
B01678,04/04/2015, 21 , 5 
B01679,04/04/2015, 74 , 5 
B01726,04/04/2015," 1,407 ", 146 
B01727,04/04/2015, 2 , 2 
B01730,04/04/2015, 492 , 85 
B01733,04/04/2015, 200 , 10 
B01734,04/04/2015, 3 , -   
B01738,04/04/2015, 297 , 25 
B01741,04/04/2015, 106 , 16 
B01742,04/04/2015, 10 , 6 
B01779,04/04/2015, 9 , 5 
B01846,04/04/2015, 1 , 1 
B01849,04/04/2015, 3 , 3 
B01854,04/04/2015, 15 , 6 
B01868,04/04/2015, 1 , 1 
B01875,04/04/2015, 5 , 4 
B01877,04/04/2015, 45 , 31 
B01899,04/04/2015, 585 , 57 
B01912,04/04/2015, 30 , -   
B01957,04/04/2015, 10 , 3 
B01970,04/04/2015, 1 , 1 
B01973,04/04/2015, 80 , 14 
B01980,04/04/2015, 25 , 14 
B01990,04/04/2015, 23 , 16 
B01995,04/04/2015, 208 , 14 
B01998,04/04/2015, 82 , 46 
B02003,04/04/2015, 35 , 22 
B02016,04/04/2015, 15 , 10 
B02022,04/04/2015, 7 , 7 
B02054,04/04/2015, 2 , 1 
B02073,04/04/2015, 3 , 2 
B02096,04/04/2015, 2 , 2 
B02106,04/04/2015, 2 , -   
B02110,04/04/2015, 34 , 3 
B02127,04/04/2015, 1 , 1 
B02133,04/04/2015, 16 , 11 
B02144,04/04/2015, 6 , 4 
B02147,04/04/2015, 5 , 3 
B02155,04/04/2015, 21 , 18 
B02157,04/04/2015, 84 , 63 
B02167,04/04/2015, 1 , -   
B02191,04/04/2015, 4 , 3 
B02196,04/04/2015, 2 , 2 
B02213,04/04/2015, 350 , 30 
B02216,04/04/2015, 2 , 1 
B02217,04/04/2015, 4 , 3 
B02240,04/04/2015, 9 , 6 
B02248,04/04/2015, 14 , 1 
B02252,04/04/2015, 6 , 2 
B02265,04/04/2015, 8 , 1 
b02301,04/04/2015, 521 , 24 
B02306,04/04/2015, 141 , 20 
B02320,04/04/2015, 60 , -   
B02342,04/04/2015, 17 , -   
B02378,04/04/2015, 1 , 1 
B02389,04/04/2015, 8 , 4 
B02397,04/04/2015, 198 , 14 
B02410,04/04/2015, 19 , 7 
B02423,04/04/2015, 15 , 3 
B02435,04/04/2015, 2 , 1 
B02440,04/04/2015, 10 , 5 
B02447,04/04/2015, 5 , 5 
B02468,04/04/2015, 55 , 22 
B02469,04/04/2015, 1 , 1 
B02470,04/04/2015, 3 , 1 
B02471,04/04/2015, 11 , 6 
B02475,04/04/2015, 25 , 7 
B02491,04/04/2015, 16 , 3 
B02511,04/04/2015, 30 , 13 
B02517,04/04/2015, 10 , 8 
B02532,04/04/2015, 28 , -   
B02541,04/04/2015, 6 , 4 
B02542,04/04/2015, 1 , 1 
B02543,04/04/2015, 28 , 9 
B02554,04/04/2015, 1 , 1 
B02573,04/04/2015, 491 , 38 
B02590,04/04/2015, 47 , -   
B02637,04/04/2015, 19 , 12 
B02653,04/04/2015," 1,769 ", 110 
B02664,04/04/2015, 6 , 5 
B02666,04/04/2015, 4 , 4 
B02667,04/04/2015, 4 , 2 
B02673,04/04/2015, 1 , 1 
B02681,04/04/2015, 1 , 1 
B02686,04/04/2015, 2 , 2 
B02695,04/04/2015, 9 , 3 
B02705                  ,04/04/2015, 5 , 4 
B02712,04/04/2015, 6 , 6 
B02716,04/04/2015, 115 , 1 
B02718,04/04/2015, 1 , 1 
B02719,04/04/2015," 1,358 ", 404 
B02725,04/04/2015, 108 , 1 
B02726,04/04/2015, 122 , 10 
B02751,04/04/2015, 1 , 1 
B02753,04/04/2015, 27 , 9 
B02782,04/04/2015, 1 , 1 
B02783,04/04/2015, 9 , 3 
B02794,04/04/2015, 78 , 14 
B00008,04/05/2015, 234 , 15 
B00009,04/05/2015, 173 , 17 
B00013,04/05/2015, 51 , 29 
B00014,04/05/2015, 99 , 46 
B00037,04/05/2015, 532 , 38 
B00095,04/05/2015, 829 , 62 
B00160,04/05/2015, 291 , 22 
B00202,04/05/2015, 18 , 4 
B00221,04/05/2015, 306 , 53 
B00227,04/05/2015, 104 , 49 
B00235,04/05/2015, 3 , 3 
B00248,04/05/2015, 967 , 102 
B00254,04/05/2015, 244 , 97 
B00255,04/05/2015, 4 , 2 
B00256,04/05/2015," 2,090 ", 552 
B00272,04/05/2015, 86 , 51 
B00277,04/05/2015, 12 , 8 
B00280,04/05/2015, 193 , 58 
B00281,04/05/2015, 96 , 7 
B00296,04/05/2015, 9 , 7 
B00310,04/05/2015," 2,206 ", 119 
B00346,04/05/2015, 74 , 8 
B00373,04/05/2015, 511 , 25 
B00381,04/05/2015, 39 , 22 
B00411,04/05/2015, 29 , 17 
B00412,04/05/2015, 128 , 30 
B00475,04/05/2015, 120 , 9 
B00477,04/05/2015, 95 , 41 
B00492,04/05/2015, 331 , 21 
B00552,04/05/2015, 17 , 13 
B00608,04/05/2015, 17 , 11 
B00619,04/05/2015, 32 , 5 
B00623,04/05/2015, 1 , 1 
B00652,04/05/2015, 122 , 12 
B00789,04/05/2015, 124 , 69 
B00837,04/05/2015, 187 , 67 
B00856,04/05/2015, 767 , 56 
B00888,04/05/2015, 12 , 8 
B00906,04/05/2015, 243 , 13 
B00911,04/05/2015, 513 , 66 
B00932,04/05/2015, 379 , 43 
b00941,04/05/2015, 52 , -   
B00948,04/05/2015, 626 , 56 
b00983,04/05/2015, 59 , 7 
B01016,04/05/2015," 1,083 ", 73 
b01048,04/05/2015, 77 , 7 
B01069,04/05/2015, 164 , 11 
B01087,04/05/2015, 126 , 85 
B01129,04/05/2015, 250 , 23 
B01148,04/05/2015, 634 , 55 
B01176,04/05/2015, 800 , 74 
B01177,04/05/2015, 117 , 9 
B01197,04/05/2015, 41 , 23 
B01222,04/05/2015, 1 , 1 
B01231,04/05/2015, 43 , 11 
B01265,04/05/2015, 578 , 58 
B01280,04/05/2015, 106 , 17 
B01306,04/05/2015, 36 , 9 
B01311,04/05/2015, 24 , 9 
B01315,04/05/2015," 1,741 ", 154 
B01332,04/05/2015, 41 , 5 
B01336,04/05/2015, 76 , 11 
B01340,04/05/2015," 1,216 ", 123 
B01362,04/05/2015," 1,155 ", 148 
B01391,04/05/2015, 130 , 14 
B01398,04/05/2015, 2 , -   
B01445,04/05/2015, 115 , 30 
B01453,04/05/2015, 255 , 15 
B01455,04/05/2015, 387 , 67 
B01478,04/05/2015, 71 , 8 
B01506,04/05/2015, 566 , 53 
B01514,04/05/2015, 66 , 11 
B01522,04/05/2015, 68 , 9 
B01537,04/05/2015, 131 , 10 
B01546,04/05/2015, 13 , 4 
B01608,04/05/2015, 5 , 3 
B01614,04/05/2015, 39 , 9 
B01623,04/05/2015, 60 , 10 
B01625,04/05/2015, 133 , 8 
B01626,04/05/2015," 1,756 ", 113 
B01675,04/05/2015, 65 , 11 
B01678,04/05/2015, 21 , 5 
B01679,04/05/2015, 40 , 4 
B01726,04/05/2015," 1,340 ", 133 
B01727,04/05/2015, 5 , 4 
B01730,04/05/2015, 474 , 75 
B01733,04/05/2015, 170 , 17 
B01734,04/05/2015, 2 , -   
B01738,04/05/2015, 269 , 26 
B01741,04/05/2015, 81 , 14 
B01742,04/05/2015, 13 , 8 
B01779,04/05/2015, 12 , 7 
B01849,04/05/2015, 1 , 1 
B01854,04/05/2015, 18 , 8 
B01876,04/05/2015, 1 , 1 
B01877,04/05/2015, 102 , 50 
B01899,04/05/2015, 566 , 53 
B01912,04/05/2015, 18 , -   
B01957,04/05/2015, 10 , 2 
B01970,04/05/2015, 5 , 2 
B01973,04/05/2015, 79 , 11 
B01980,04/05/2015, 18 , 13 
B01990,04/05/2015, 29 , 18 
B01995,04/05/2015, 222 , 14 
B01998,04/05/2015, 106 , 53 
B02003,04/05/2015, 32 , 21 
B02016,04/05/2015, 32 , 16 
B02022,04/05/2015, 20 , 12 
B02026,04/05/2015, 2 , 1 
B02054,04/05/2015, 2 , 1 
B02073,04/05/2015, 3 , 2 
B02096,04/05/2015, 1 , 1 
B02106,04/05/2015, 2 , -   
B02110,04/05/2015, 1 , 1 
B02133,04/05/2015, 28 , 10 
B02142,04/05/2015, 1 , 1 
B02144,04/05/2015, 14 , 8 
B02147,04/05/2015, 6 , 5 
B02155,04/05/2015, 15 , 15 
B02157,04/05/2015, 120 , 74 
B02167,04/05/2015, 1 , -   
B02191,04/05/2015, 10 , 5 
B02213,04/05/2015, 257 , 25 
B02217,04/05/2015, 6 , 4 
B02240,04/05/2015, 10 , 3 
B02248,04/05/2015, 6 , 1 
B02252,04/05/2015, 10 , 4 
B02265,04/05/2015, 14 , 1 
b02301,04/05/2015, 424 , 21 
B02306,04/05/2015, 100 , 18 
B02320,04/05/2015, 28 , -   
B02342,04/05/2015, 5 , -   
B02389,04/05/2015, 9 , 4 
B02397,04/05/2015, 159 , 12 
B02410,04/05/2015, 27 , 13 
B02423,04/05/2015, 11 , 2 
B02435,04/05/2015, 4 , 3 
B02436,04/05/2015, 2 , 1 
B02440,04/05/2015, 11 , 6 
B02447,04/05/2015, 4 , 4 
B02468,04/05/2015, 72 , 18 
B02469,04/05/2015, 1 , 1 
B02470,04/05/2015, 2 , 1 
B02471,04/05/2015, 9 , 6 
B02475,04/05/2015, 21 , 8 
B02491,04/05/2015, 21 , 2 
B02511,04/05/2015, 30 , 12 
B02517,04/05/2015, 15 , 9 
B02532,04/05/2015, 26 , -   
B02541,04/05/2015, 7 , 4 
B02542,04/05/2015, 1 , 1 
B02543,04/05/2015, 46 , 9 
B02554,04/05/2015, 3 , 3 
B02564,04/05/2015, 4 , 2 
B02573,04/05/2015, 494 , 35 
B02590,04/05/2015, 61 , -   
B02637,04/05/2015, 19 , 16 
B02653,04/05/2015," 1,880 ", 110 
B02664,04/05/2015, 2 , 2 
B02666,04/05/2015, 5 , 5 
B02667,04/05/2015, 1 , 1 
B02673,04/05/2015, 1 , 1 
B02689,04/05/2015, 3 , 2 
B02695,04/05/2015, 13 , 3 
B02705                  ,04/05/2015, 1 , 1 
B02712,04/05/2015, 6 , 5 
B02716,04/05/2015, 110 , 1 
B02719,04/05/2015," 1,368 ", 367 
B02725,04/05/2015, 124 , 1 
B02726,04/05/2015, 111 , 10 
B02727,04/05/2015, 2 , 2 
B02731,04/05/2015, 11 , 2 
B02751,04/05/2015, 3 , 2 
B02753,04/05/2015, 31 , 11 
B02782,04/05/2015, 1 , 1 
B02794,04/05/2015, 95 , 12 
B00008,04/06/2015, 250 , 15 
B00009,04/06/2015, 155 , 16 
B00013,04/06/2015, 296 , 100 
B00014,04/06/2015, 422 , 142 
B00037,04/06/2015, 452 , 46 
B00095,04/06/2015, 669 , 70 
B00160,04/06/2015, 272 , 22 
B00202,04/06/2015, 48 , 16 
B00210,04/06/2015, 2 , 1 
B00221,04/06/2015, 517 , 74 
B00227,04/06/2015, 364 , 146 
B00235,04/06/2015, 16 , 6 
B00248,04/06/2015," 1,056 ", 118 
B00254,04/06/2015, 928 , 247 
B00255,04/06/2015, 25 , 8 
B00256,04/06/2015," 2,500 ", 637 
B00272,04/06/2015, 256 , 119 
B00277,04/06/2015, 128 , 42 
B00280,04/06/2015, 231 , 75 
B00296,04/06/2015, 60 , 33 
B00310,04/06/2015," 1,722 ", 140 
B00346,04/06/2015, 70 , 8 
B00373,04/06/2015, 213 , 26 
B00381,04/06/2015, 337 , 115 
B00411,04/06/2015, 183 , 55 
B00412,04/06/2015, 347 , 81 
B00448,04/06/2015, 10 , 4 
B00475,04/06/2015, 131 , 8 
B00477,04/06/2015, 454 , 143 
B00492,04/06/2015, 296 , 23 
B00552,04/06/2015, 34 , 26 
B00608,04/06/2015, 116 , 32 
B00619,04/06/2015, 28 , 7 
B00623,04/06/2015, 8 , 4 
B00652,04/06/2015, 123 , 15 
B00789,04/06/2015, 699 , 213 
b00833,04/06/2015, 60 , -   
B00837,04/06/2015, 390 , 144 
B00856,04/06/2015, 722 , 64 
b00881,04/06/2015, 1 , 1 
B00888,04/06/2015, 95 , 37 
b00906,04/06/2015, 228 , 13 
B00911,04/06/2015, 462 , 72 
B00932,04/06/2015, 260 , 44 
b00941,04/06/2015, 54 , -   
B00948,04/06/2015, 584 , 59 
b00983,04/06/2015, 80 , 8 
b01013,04/06/2015, 13 , 6 
B01016,04/06/2015, 886 , 73 
B01020,04/06/2015, 45 , 13 
b01039,04/06/2015, 10 , 10 
b01048,04/06/2015, 94 , 8 
B01069,04/06/2015, 158 , 12 
B01087,04/06/2015, 580 , 231 
B01129,04/06/2015, 253 , 23 
B01148,04/06/2015, 388 , 57 
B01176,04/06/2015, 578 , 79 
B01177,04/06/2015, 141 , 10 
B01197,04/06/2015, 244 , 76 
B01222,04/06/2015, 2 , 2 
B01231,04/06/2015, 144 , 26 
B01265,04/06/2015, 476 , 64 
B01280,04/06/2015, 162 , 20 
B01306,04/06/2015, 32 , 8 
B01311,04/06/2015, 48 , 9 
B01313,04/06/2015, 13 , 7 
B01315,04/06/2015," 1,518 ", 161 
B01332,04/06/2015, 52 , 5 
B01336,04/06/2015, 154 , 18 
B01340,04/06/2015," 1,098 ", 129 
B01351,04/06/2015, 66 , 6 
B01362,04/06/2015, 960 , 139 
B01391,04/06/2015, 154 , 13 
B01398,04/06/2015, 1 , -   
B01445,04/06/2015, 118 , 38 
B01453,04/06/2015, 242 , 16 
B01455,04/06/2015, 284 , 69 
B01478,04/06/2015, 74 , 13 
B01506,04/06/2015, 511 , 65 
B01514,04/06/2015, 64 , 13 
B01522,04/06/2015, 87 , 13 
B01537,04/06/2015, 149 , 14 
B01546,04/06/2015, 83 , 7 
B01608,04/06/2015, 7 , 4 
B01614,04/06/2015, 44 , 9 
B01623,04/06/2015, 54 , 10 
B01625,04/06/2015, 100 , 9 
B01626,04/06/2015," 1,288 ", 109 
B01635,04/06/2015, 20 , 8 
B01675,04/06/2015, 95 , 16 
B01678,04/06/2015, 39 , 5 
B01679,04/06/2015, 71 , 5 
B01726,04/06/2015," 1,035 ", 140 
B01727,04/06/2015, 5 , 3 
B01730,04/06/2015, 433 , 76 
B01733,04/06/2015, 169 , 11 
B01734,04/06/2015, 7 , -   
B01738,04/06/2015, 186 , 25 
B01741,04/06/2015, 53 , 15 
B01742,04/06/2015, 18 , 12 
B01779,04/06/2015, 58 , 19 
B01846,04/06/2015, 1 , 1 
B01849,04/06/2015, 11 , 6 
B01854,04/06/2015, 84 , 23 
B01868,04/06/2015, 2 , 2 
B01875,04/06/2015, 157 , 51 
B01876,04/06/2015, 2 , 2 
B01877,04/06/2015, 303 , 114 
B01899,04/06/2015, 771 , 86 
B01912,04/06/2015, 46 , -   
B01957,04/06/2015, 6 , 2 
B01970,04/06/2015, 12 , 5 
B01973,04/06/2015, 122 , 16 
B01990,04/06/2015, 46 , 33 
B01995,04/06/2015, 162 , 15 
B01998,04/06/2015, 464 , 194 
B02003,04/06/2015, 186 , 73 
B02016,04/06/2015, 163 , 54 
B02022,04/06/2015, 57 , 24 
B02026,04/06/2015, 1 , 1 
B02054,04/06/2015, 22 , 7 
B02073,04/06/2015, 12 , 5 
B02096,04/06/2015, 4 , 4 
B02106,04/06/2015, 2 , -   
B02110,04/06/2015, 36 , 3 
B02127,04/06/2015, 1 , 1 
B02133,04/06/2015, 87 , 31 
B02142,04/06/2015, 2 , 2 
B02144,04/06/2015, 13 , 7 
B02147,04/06/2015, 16 , 12 
B02155,04/06/2015, 19 , 18 
B02157,04/06/2015, 171 , 95 
B02167,04/06/2015, 7 , 3 
B02182,04/06/2015, 6 , 2 
B02191,04/06/2015, 25 , 15 
B02196,04/06/2015, 1 , 1 
B02213,04/06/2015, 257 , 30 
B02216,04/06/2015, 4 , 3 
B02217,04/06/2015, 25 , 10 
B02240,04/06/2015, 12 , 9 
B02248,04/06/2015, 14 , 1 
B02252,04/06/2015, 9 , 5 
B02265,04/06/2015, 23 , 2 
b02301,04/06/2015, 398 , 25 
B02306,04/06/2015, 80 , 18 
B02320,04/06/2015, 40 , -   
B02342,04/06/2015, 59 , -   
B02377,04/06/2015, 2 , 1 
B02378,04/06/2015, 1 , 1 
B02389,04/06/2015, 47 , 14 
B02397,04/06/2015, 188 , 12 
B02410,04/06/2015, 64 , 24 
B02423,04/06/2015, 19 , 3 
B02435,04/06/2015, 6 , 4 
B02440,04/06/2015, 35 , 18 
B02447,04/06/2015, 5 , 5 
B02468,04/06/2015, 125 , 32 
B02469,04/06/2015, 2 , 2 
B02470,04/06/2015, 17 , 6 
B02471,04/06/2015, 8 , 4 
B02475,04/06/2015, 21 , 9 
B02491,04/06/2015, 25 , 4 
B02511,04/06/2015, 30 , 13 
B02517,04/06/2015, 17 , 10 
B02524,04/06/2015, 11 , 9 
B02532,04/06/2015, 32 , -   
B02541,04/06/2015, 8 , 4 
B02542,04/06/2015, 1 , 1 
B02543,04/06/2015, 46 , 9 
B02547,04/06/2015, 13 , 7 
B02554,04/06/2015, 5 , 4 
B02564,04/06/2015, 4 , 2 
B02573,04/06/2015, 316 , 36 
B02590,04/06/2015, 54 , -   
B02629,04/06/2015, 4 , 2 
B02637,04/06/2015, 19 , 11 
B02644,04/06/2015, 1 , 1 
B02653,04/06/2015," 1,046 ", 106 
B02657,04/06/2015, 126 , -   
B02664,04/06/2015, 8 , 7 
B02666,04/06/2015, 12 , 10 
B02673,04/06/2015, 4 , 4 
B02681,04/06/2015, 2 , 2 
B02686,04/06/2015, 2 , 2 
B02689,04/06/2015, 1 , 1 
B02695,04/06/2015, 8 , 3 
B02705                  ,04/06/2015, 1 , 1 
B02710,04/06/2015, 13 , 6 
B02712,04/06/2015, 6 , 6 
B02716,04/06/2015, 105 , 1 
B02718,04/06/2015, 2 , 1 
B02719,04/06/2015, 994 , 379 
B02723,04/06/2015, 4 , -   
B02725,04/06/2015, 105 , 1 
B02726,04/06/2015, 61 , 7 
B02731,04/06/2015, 25 , 3 
B02751,04/06/2015, 1 , 1 
B02753,04/06/2015, 33 , 12 
B02754,04/06/2015, 7 , 2 
B02782,04/06/2015, 1 , 1 
B02783,04/06/2015, 33 , 5 
B02794,04/06/2015, 73 , 16 
B00008,04/07/2015, 250 , 15 
B00009,04/07/2015, 149 , 16 
B00013,04/07/2015, 399 , 111 
B00014,04/07/2015, 578 , 164 
B00037,04/07/2015, 425 , 47 
B00095,04/07/2015, 615 , 71 
B00160,04/07/2015, 279 , 22 
B00202,04/07/2015, 105 , 19 
B00221,04/07/2015, 559 , 78 
B00227,04/07/2015, 514 , 158 
B00235,04/07/2015, 24 , 12 
B00248,04/07/2015," 1,101 ", 121 
B00254,04/07/2015," 1,228 ", 271 
B00255,04/07/2015, 20 , 5 
B00256,04/07/2015," 2,630 ", 612 
B00272,04/07/2015, 331 , 137 
B00277,04/07/2015, 148 , 39 
B00280,04/07/2015, 305 , 84 
B00296,04/07/2015, 125 , 41 
B00310,04/07/2015," 1,661 ", 142 
B00346,04/07/2015, 59 , 7 
B00373,04/07/2015, 265 , 31 
B00381,04/07/2015, 399 , 119 
B00411,04/07/2015, 205 , 59 
B00412,04/07/2015, 391 , 88 
B00448,04/07/2015, 13 , 5 
B00475,04/07/2015, 165 , 10 
B00477,04/07/2015, 645 , 158 
B00492,04/07/2015, 327 , 23 
B00552,04/07/2015, 36 , 25 
B00608,04/07/2015, 153 , 42 
B00619,04/07/2015, 40 , 7 
B00623,04/07/2015, 11 , 5 
B00652,04/07/2015, 116 , 15 
B00789,04/07/2015, 869 , 238 
