Base Number,Pick Up Date,Number of Trips,Number of Vehicles
B01087,01/03/2015, 160 , 82 
B01148,01/03/2015, 528 , 56 
B01197,01/03/2015, 53 , 33 
B01282,01/03/2015," 1,042 ", 67 
B01285,01/03/2015," 1,546 ", 147 
B01300,01/03/2015, 853 , 115 
B01312,01/03/2015, 444 , 75 
B01313,01/03/2015, 5 , 5 
B01315,01/03/2015," 1,584 ", 140 
B01341,01/03/2015," 1,004 ", 137 
b01346,01/03/2015, 840 , 114 
B01367    ,01/03/2015, 32 , 19 
B01386,01/03/2015," 2,720 ", 192 
B01522,01/03/2015, 81 , 15 
B01651,01/03/2015, 387 , 52 
B01777,01/03/2015, 826 , 122 
B01848,01/03/2015, 10 , -   
B01877,01/03/2015, 75 , 49 
B01899,01/03/2015, 874 , 83 
B01984,01/03/2015, 238 , 69 
B01990,01/03/2015, 32 , 13 
B02003,01/03/2015, 42 , 28 
B02022,01/03/2015, 12 , 5 
B02096,01/03/2015, 4 , 4 
B02107,01/03/2015, 836 , 86 
B02120,01/03/2015, 82 , 36 
B02147,01/03/2015, 24 , 5 
B02183,01/03/2015, 6 , 6 
B02285,01/03/2015, 56 , 30 
B02475,01/03/2015, 13 , 6 
B02513,01/03/2015, 5 , 2 
B02566,01/03/2015, 1 , 1 
B02569,01/03/2015, 56 , 1 
B02653,01/03/2015," 1,281 ", 110 
B02715,01/03/2015, 136 , 51 
B00013,01/04/2015, 76 , 42 
B00014,01/04/2015, 108 , 61 
B00029,01/04/2015," 1,230 ", 39 
B00053,01/04/2015, 16 , 14 
B00095,01/04/2015, 733 , 76 
B00221,01/04/2015, 224 , 50 
B00227,01/04/2015, 118 , 61 
B00248,01/04/2015, 877 , 108 
B00254,01/04/2015, 310 , 140 
B00280,01/04/2015, 69 , 35 
B00310,01/04/2015," 1,539 ", 131 
B00381,01/04/2015, 71 , 34 
B00412,01/04/2015, 102 , 22 
B00448,01/04/2015, 2 , 2 
B00457,01/04/2015," 1,082 ", 98 
B00477,01/04/2015, 104 , 51 
B00552,01/04/2015, 18 , 12 
B00623,01/04/2015, 3 , 1 
B00837,01/04/2015, 206 , 74 
B00887,01/04/2015," 2,197 ", 653 
B00919,01/04/2015, 556 , 70 
B00948,01/04/2015, 578 , 57 
B01066,01/04/2015, 713 , 83 
B01083,01/04/2015, 805 , 84 
B01087,01/04/2015, 149 , 91 
B01148,01/04/2015, 447 , 55 
B01197,01/04/2015, 36 , 23 
B01282,01/04/2015, 943 , 64 
B01285,01/04/2015," 1,374 ", 136 
B01300,01/04/2015, 759 , 109 
B01312,01/04/2015, 442 , 79 
B01315,01/04/2015," 1,382 ", 130 
B01341,01/04/2015, 741 , 106 
b01346,01/04/2015, 668 , 108 
B01367    ,01/04/2015, 37 , 23 
B01386,01/04/2015," 2,107 ", 176 
B01522,01/04/2015, 62 , 12 
B01651,01/04/2015, 378 , 51 
B01777,01/04/2015, 688 , 114 
B01848,01/04/2015, 11 , -   
B01877,01/04/2015, 103 , 53 
B01899,01/04/2015, 767 , 72 
B01949,01/04/2015, 1 , 1 
B01984,01/04/2015, 60 , 30 
B01990,01/04/2015, 38 , 14 
B02003,01/04/2015, 48 , 36 
B02022,01/04/2015, 25 , 11 
B02096,01/04/2015, 3 , 3 
B02107,01/04/2015, 683 , 79 
B02120,01/04/2015, 103 , 46 
B02147,01/04/2015, 26 , 7 
B02285,01/04/2015, 48 , 28 
B02475,01/04/2015, 11 , 6 
B02513,01/04/2015, 3 , 2 
B02566,01/04/2015, 4 , 4 
B02569,01/04/2015, 50 , 1 
B02653,01/04/2015," 1,069 ", 108 
B02715,01/04/2015, 138 , 52 
B00013,01/05/2015, 292 , 99 
B00014,01/05/2015, 441 , 144 
B00029,01/05/2015," 1,174 ", 46 
B00053,01/05/2015, 72 , 50 
B00095,01/05/2015, 399 , 77 
B00221,01/05/2015, 524 , 79 
B00227,01/05/2015, 326 , 134 
B00248,01/05/2015," 1,176 ", 126 
B00254,01/05/2015, 942 , 296 
B00280,01/05/2015, 222 , 81 
B00310,01/05/2015," 1,664 ", 142 
B00381,01/05/2015, 220 , 76 
B00412,01/05/2015, 348 , 76 
B00448,01/05/2015, 7 , 4 
B00457,01/05/2015," 1,112 ", 116 
B00477,01/05/2015, 440 , 147 
B00552,01/05/2015, 22 , 17 
B00623,01/05/2015, 16 , 6 
B00837,01/05/2015, 313 , 116 
B00887,01/05/2015," 2,427 ", 761 
B00919,01/05/2015, 587 , 68 
B00948,01/05/2015, 595 , 61 
B01066,01/05/2015, 685 , 87 
B01083,01/05/2015, 798 , 97 
B01087,01/05/2015, 559 , 230 
B01148,01/05/2015, 397 , 58 
B01197,01/05/2015, 202 , 69 
B01282,01/05/2015," 1,080 ", 70 
B01285,01/05/2015," 1,264 ", 149 
B01300,01/05/2015, 802 , 113 
B01312,01/05/2015, 865 , 106 
B01313,01/05/2015, 11 , 11 
B01315,01/05/2015," 1,287 ", 141 
B01341,01/05/2015," 1,194 ", 153 
b01346,01/05/2015, 773 , 113 
B01367    ,01/05/2015, 190 , 63 
B01386,01/05/2015," 1,985 ", 184 
B01522,01/05/2015, 87 , 15 
B01651,01/05/2015, 386 , 50 
B01777,01/05/2015, 673 , 126 
B01848,01/05/2015, 8 , -   
B01877,01/05/2015, 257 , 105 
B01899,01/05/2015," 1,200 ", 111 
B01949,01/05/2015, 45 , 23 
B01984,01/05/2015, 479 , 94 
B01990,01/05/2015, 78 , 32 
B02003,01/05/2015, 147 , 75 
B02022,01/05/2015, 65 , 26 
B02096,01/05/2015, 19 , 13 
B02107,01/05/2015, 692 , 87 
B02120,01/05/2015, 213 , 76 
B02147,01/05/2015, 42 , 10 
B02183,01/05/2015, 10 , 10 
B02285,01/05/2015, 139 , 72 
B02475,01/05/2015, 16 , 8 
B02513,01/05/2015, 20 , 7 
B02566,01/05/2015, 6 , 5 
B02569,01/05/2015, 122 , 1 
B02653,01/05/2015," 1,015 ", 110 
B02715,01/05/2015, 195 , 60 
B00013,01/06/2015, 414 , 107 
B00014,01/06/2015, 593 , 159 
B00029,01/06/2015," 1,181 ", 50 
B00053,01/06/2015, 94 , 53 
B00095,01/06/2015, 420 , 79 
B00221,01/06/2015, 553 , 76 
B00227,01/06/2015, 417 , 141 
B00248,01/06/2015," 1,082 ", 125 
B00254,01/06/2015," 1,199 ", 288 
B00280,01/06/2015, 213 , 77 
B00310,01/06/2015," 1,762 ", 148 
B00381,01/06/2015, 285 , 82 
B00412,01/06/2015, 347 , 74 
B00448,01/06/2015, 7 , 5 
B00457,01/06/2015," 1,259 ", 112 
B00477,01/06/2015, 493 , 140 
B00552,01/06/2015, 29 , 23 
B00623,01/06/2015, 15 , 7 
B00837,01/06/2015, 381 , 141 
B00887,01/06/2015," 2,246 ", 682 
B00919,01/06/2015, 621 , 71 
B00948,01/06/2015, 608 , 61 
B01066,01/06/2015, 747 , 84 
B01083,01/06/2015, 773 , 91 
B01087,01/06/2015, 759 , 228 
B01148,01/06/2015, 393 , 56 
B01197,01/06/2015, 265 , 83 
B01282,01/06/2015, 955 , 67 
B01285,01/06/2015," 1,309 ", 146 
B01300,01/06/2015, 733 , 112 
B01312,01/06/2015, 930 , 103 
B01313,01/06/2015, 13 , 13 
B01315,01/06/2015," 1,438 ", 145 
B01341,01/06/2015," 1,476 ", 157 
b01346,01/06/2015, 842 , 107 
B01367    ,01/06/2015, 214 , 67 
B01386,01/06/2015," 2,251 ", 191 
B01522,01/06/2015, 88 , 16 
B01651,01/06/2015, 369 , 53 
B01777,01/06/2015, 708 , 123 
B01848,01/06/2015, 9 , -   
B01877,01/06/2015, 369 , 120 
B01899,01/06/2015," 1,240 ", 123 
B01949,01/06/2015, 55 , 25 
B01984,01/06/2015, 475 , 91 
B01990,01/06/2015, 104 , 25 
B02003,01/06/2015, 198 , 74 
B02022,01/06/2015, 88 , 27 
B02096,01/06/2015, 11 , 8 
